Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-07-25,,Bench press,,,,3,205,
2025-07-25,,Bench press,,,,5,185,
2025-07-25,,Bench press,,,,5,185,
2025-07-25,,Bench press,,,,3,185,
2025-07-25,,Bench press,,,,3,175,
2025-07-25,,Incline Bench press,,,,5,95,
2025-07-25,,Lat pulldown,,,,5,9,
2025-07-25,,Incline Bench press,,,,5,135,
2025-07-25,,Lat pulldown,,,,5,12,
2025-07-25,,Lat pulldown,,,,5,13,
2025-07-25,,Lat pulldown,,,,5,13,
2025-07-25,,Lat pulldown,,,,8,12,
2025-07-25,,Lat pulldown,,,,5,12,
2025-07-25,,Lat pulldown,,,,6,12,
2025-07-25,,lever seated row,,,,5,14,
2025-07-25,,seated chest fly,,,,5,160,
2025-07-25,,lever seated row,,,,4,18,
2025-07-25,,lever seated row,,,,3,16,
2025-07-25,,seated chest fly,,,,5,175,
2025-07-25,,dips,,,,6,0,
2025-07-25,,lever seated row,,,,2,18,
2025-07-25,,lever seated row,,,,3,16,
2025-07-25,,seated chest fly,,,,5,175,
2025-07-25,,dips,,,,4,0,
2025-07-25,,rotary trunk twists,,,,5,10,
2025-07-25,,rotary trunk twists,,,,5,10,
2025-07-25,,rotary trunk twists,,,,5,10,
2025-07-25,,rotary trunk twists,,,,6,10,
2025-07-25,,rotary trunk twists,,,,5,10,
,,,,,,,,
,,,,,,,,
2025-07-19,,Barbell Squat,Low Bar,,,6,45,
2025-07-19,,Barbell Squat,Low Bar,,,5,135,
2025-07-19,,Barbell Squat,Low Bar,,,5,225,
2025-07-19,,Barbell Squat,Low Bar,,,5,225,
2025-07-19,,Barbell Squat,Low Bar,,,5,225,
2025-07-19,,leg extension,seated,,,10,10,
2025-07-19,,leg extension,seated,,,10,10,
2025-07-19,,leg extension,seated,,,5,14,
2025-07-19,,leg extension,one leg,,,4,14,
2025-07-19,,leg extension,one leg,,,4,14,
2025-07-19,,leg extension,seated,,,10,14,
2025-07-19,,leg extension,seated,,,10,14,
2025-07-19,,leg extension,seated,,,10,14,
2025-07-19,,leg extension,seated,,,10,14,
2025-07-19,,Leg curls,Lying,,,3,11,
2025-07-19,,Leg curls,Lying,,,2,10,
2025-07-19,,Leg curls,Lying,,,4,10,
2025-07-19,,Leg curls,Lying,,,4,10,
2025-07-19,,Leg curls,Lying,,,1,9,
2025-07-19,,Leg curls,Lying,,,5,9,
2025-07-19,,Leg press,,,,5,230,
2025-07-19,,Leg press,,,,5,320,
2025-07-19,,Leg press,,,,5,390,
2025-07-19,,Leg press,,,,10,390,
2025-07-19,,Leg press,,,,5,390,
2025-07-19,,Calf raise ,leg press,,,5,390,
2025-07-19,,rotary trunk twists,,,,5,9,
2025-07-19,,rotary trunk twists,,,,5,11,
2025-07-19,,rotary trunk twists,,,,5,10,
2025-07-19,,rotary trunk twists,,,,5,10,
2025-07-19,,rotary trunk twists,,,,5,10,
2025-07-19,,rotary trunk twists,,,,5,10,
,,,,,,,,
,,,,,,,,
2025-08-07,,Bench press,,,,10,45,
2025-08-07,,Bench press,,,,5,115,
2025-08-07,,Bench press,,,,1,225,
2025-08-07,,Bench press,,,,2,205,
2025-08-07,,Bench press,,,,7,185,
2025-08-07,,Bench press,,,,5,185,
2025-08-07,,Bench press,,,,5,185,
2025-08-07,,Bench press,Incline,,,3,165,
2025-08-07,,Pull up,,,,3,0,
2025-08-07,,Bench press,Incline,,,11,135,
2025-08-07,,Pull up,,,,1,0,
2025-08-07,,Bench press,Incline,,,10,135,
2025-08-07,,Pull up,,,,2,0,
2025-08-07,,lever seated row,,,,5,15,
2025-08-07,,seated chest fly,,,,5,160,
2025-08-07,,lever seated row,,,,10,15,
2025-08-07,,seated chest fly,,,,2,205,
2025-08-07,,seated chest fly,,,,5,175,
2025-08-07,,lever seated row,,,,10,14,
2025-08-07,,Dips,,,,4,0,
2025-08-07,,seated chest fly,,,,5,175,
2025-08-07,,Dips,,,,5,0,
2025-08-07,,lever seated row,,,,6,14,
