Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-07-31,,wrist curls,reverse,,,5.0,25.0,,kg
2025-07-31,,wrist curls,,,,10.0,25.0,,kg
2025-07-31,,wrist curls,reverse,,,5.0,20.0,,kg
2025-07-31,,wrist curls,,,,9.0,30.0,,kg
2025-07-31,,wrist curls,reverse,,,5.0,20.0,,kg
2025-07-31,,wrist curls,,,,6.0,30.0,,kg
2025-07-31,,rotary trunk twists,,,,5.0,7.0,,level
2025-07-31,,rotary trunk twists,,,,6.0,7.0,,level
2025-07-31,,rotary trunk twists,,,,6.0,7.0,,level
2025-07-29,,barbell squat,low bar,,,5.0,45.0,,kg
2025-07-29,,barbell squat,low bar,,,15.0,135.0,,kg
2025-07-29,,barbell squat,low bar,,,15.0,135.0,,kg
2025-07-29,,barbell squat,low bar,,,15.0,135.0,,kg
2025-07-29,,barbell squat,low bar,,,15.0,135.0,,kg
2025-07-29,,barbell squat,low bar,,,10.0,135.0,,kg
2025-07-29,,leg extension,,,,5.0,14.0,,level
2025-07-29,,leg extension,,,,5.0,14.0,,level
2025-07-29,,leg extension,,,,5.0,14.0,,level
2025-07-29,,leg extension,one leg,,,3.0,12.0,,level
2025-07-29,,leg extension,,,,,14.0,,level
2025-07-29,,leg curls,lying,,,5.0,7.0,,level
2025-07-25,,bench press,flat,,,5.0,135.0,,kg
2025-07-25,,bench press,flat,,,5.0,185.0,,kg
2025-07-25,,bench press,flat,,,2.0,215.0,,kg
2025-07-25,,bench press,flat,,,3.0,205.0,,kg
2025-07-25,,bench press,flat,,,5.0,185.0,,kg
2025-07-25,,bench press,flat,,,5.0,185.0,,kg
2025-07-25,,bench press,flat,,,3.0,185.0,,kg
2025-07-25,,bench press,flat,,,3.0,175.0,,kg
2025-07-25,,bench press,incline,,,5.0,95.0,,kg
2025-07-25,,lat pulldown,,,,5.0,9.0,,level
2025-07-25,,bench press,incline,,,5.0,135.0,,kg
2025-07-25,,lat pulldown,,,,5.0,12.0,,level
2025-07-25,,lat pulldown,,,,5.0,13.0,,level
2025-07-25,,lat pulldown,,,,5.0,13.0,,level
2025-07-25,,lat pulldown,,,,8.0,12.0,,level
2025-07-25,,lat pulldown,,,,5.0,12.0,,level
2025-07-25,,lat pulldown,,,,6.0,12.0,,level
2025-07-25,,lever seated row,,,,5.0,14.0,,level
2025-07-25,,seated chest fly,,,,5.0,160.0,,kg
2025-07-25,,lever seated row,,,,4.0,18.0,,level
2025-07-25,,lever seated row,,,,3.0,16.0,,level
2025-07-25,,seated chest fly,,,,5.0,175.0,,kg
2025-07-25,,dips,,,,6.0,0.0,,kg
2025-07-25,,lever seated row,,,,2.0,18.0,,level
2025-07-25,,lever seated row,,,,3.0,16.0,,level
2025-07-25,,seated chest fly,,,,5.0,175.0,,kg
2025-07-25,,dips,,,,4.0,0.0,,kg
2025-07-25,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-25,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-25,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-25,,rotary trunk twists,,,,6.0,10.0,,level
2025-07-25,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-19,,barbell squat,low bar,,,6.0,45.0,,kg
2025-07-19,,barbell squat,low bar,,,5.0,135.0,,kg
2025-07-19,,barbell squat,low bar,,,5.0,225.0,,kg
2025-07-19,,barbell squat,low bar,,,5.0,225.0,,kg
2025-07-19,,barbell squat,low bar,,,5.0,225.0,,kg
2025-07-19,,leg extension,seated,,,10.0,10.0,,level
2025-07-19,,leg extension,seated,,,10.0,10.0,,level
2025-07-19,,leg extension,seated,,,5.0,14.0,,level
2025-07-19,,leg extension,one leg,,,4.0,14.0,,level
2025-07-19,,leg extension,one leg,,,4.0,14.0,,level
2025-07-19,,leg extension,seated,,,10.0,14.0,,level
2025-07-19,,leg extension,seated,,,10.0,14.0,,level
2025-07-19,,leg extension,seated,,,10.0,14.0,,level
2025-07-19,,leg extension,seated,,,10.0,14.0,,level
2025-07-19,,leg curls,lying,,,3.0,11.0,,level
2025-07-19,,leg curls,lying,,,2.0,10.0,,level
2025-07-19,,leg curls,lying,,,4.0,10.0,,level
2025-07-19,,leg curls,lying,,,4.0,10.0,,level
2025-07-19,,leg curls,lying,,,1.0,9.0,,level
2025-07-19,,leg curls,lying,,,5.0,9.0,,level
2025-07-19,,leg press,,,,5.0,230.0,,kg
2025-07-19,,leg press,,,,5.0,320.0,,kg
2025-07-19,,leg press,,,,5.0,390.0,,kg
2025-07-19,,leg press,,,,10.0,390.0,,kg
2025-07-19,,leg press,,,,5.0,390.0,,kg
2025-07-19,,calf raise,leg press,,,5.0,390.0,,kg
2025-07-19,,rotary trunk twists,,,,5.0,9.0,,level
2025-07-19,,rotary trunk twists,,,,5.0,11.0,,level
2025-07-19,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-19,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-19,,rotary trunk twists,,,,5.0,10.0,,level
2025-07-19,,rotary trunk twists,,,,5.0,10.0,,level
2025-08-07,,bench press,flat,,,10.0,45.0,,kg
2025-08-07,,bench press,flat,,,5.0,115.0,,kg
2025-08-07,,bench press,flat,,,1.0,225.0,,kg
2025-08-07,,bench press,flat,,,2.0,205.0,,kg
2025-08-07,,bench press,flat,,,7.0,185.0,,kg
2025-08-07,,bench press,flat,,,5.0,185.0,,kg
2025-08-07,,bench press,flat,,,5.0,185.0,,kg
2025-08-07,,bench press,incline,,,3.0,165.0,,kg
2025-08-07,,pull up,,,,3.0,0.0,,kg
2025-08-07,,bench press,incline,,,11.0,135.0,,kg
2025-08-07,,pull up,,,,1.0,0.0,,kg
2025-08-07,,bench press,incline,,,10.0,135.0,,kg
2025-08-07,,pull up,,,,2.0,0.0,,kg
