,0
t-bar row,49.859154929577464
seated chest fly,48.333333333333336
calf raise,32.432432432432435
wrist curls,23.333333333333332
leg press,16.610169491525422
bench press,14.909090909090908
preacher curl,4.827586206896552
barbell squat,-29.32979429329794
